return_id,store_id,date,amount,reason_code
R000346,S05,2025-04-23,35.11,wrong_item
R000140,S02,2025-05-13,49.11,defective
R000062,S01,2025-05-12,25.73,wrong_item
R000398,S05,2025-05-27,32.81,defective
R000113,S02,2025-04-21,33.86,wrong_item
R000404,S05,2025-05-31,24.44,wrong_item
R000288,S04,2025-05-13,21.64,other
R000126,S02,2025-05-02,36.18,defective
R000093,S02,2025-04-07,38.15,defective
R000259,S04,2025-04-27,31.24,changed_mind
R000157,S02,2025-05-25,28.43,changed_mind
R000300,S04,2025-05-20,29.78,defective
R000137,S02,2025-05-12,17.46,defective
R000251,S04,2025-04-20,11.58,wrong_item
R000007,S01,2025-04-12,15.38,wrong_item
R000227,S03,2025-05-30,17.82,wrong_item
R000066,S01,2025-05-16,17.6,wrong_item
R000177,S03,2025-04-14,32.87,wrong_item
R000162,S02,2025-05-27,26.7,wrong_item
R000345,S05,2025-04-23,17.44,defective
R000038,S01,2025-05-03,47.89,changed_mind
R000383,S05,2025-05-17,11.93,changed_mind
R000362,S05,2025-05-02,38.18,wrong_item
R000074,S01,2025-05-22,22.2,other
R000034,S01,2025-04-30,34.37,changed_mind
R000119,S02,2025-04-26,20.26,changed_mind
R000154,S02,2025-05-23,33.97,wrong_item
R000101,S02,2025-04-15,24.19,changed_mind
R000358,S05,2025-05-01,23.07,defective
R000208,S03,2025-05-11,23.14,defective
R000039,S01,2025-05-04,44.52,other
R000285,S04,2025-05-11,23.28,wrong_item
R000103,S02,2025-04-16,30.74,wrong_item
R000276,S04,2025-05-06,19.89,wrong_item
R000085,S01,2025-05-30,27.05,defective
R000270,S04,2025-05-05,10.74,wrong_item
R000117,S02,2025-04-23,19.68,defective
R000079,S01,2025-05-28,36.29,wrong_item
R000156,S02,2025-05-24,33.86,defective
R000159,S02,2025-05-26,25.9,wrong_item
R000287,S04,2025-05-11,35.92,defective
R000138,S02,2025-05-13,12.62,wrong_item
R000047,S01,2025-05-07,3.0,wrong_item
R000252,S04,2025-04-22,30.4,wrong_item
R000170,S03,2025-04-09,18.65,defective
R000268,S04,2025-05-05,29.95,changed_mind
R000024,S01,2025-04-24,41.62,changed_mind
R000048,S01,2025-05-07,34.64,changed_mind
R000333,S05,2025-04-15,34.59,wrong_item
R000049,S01,2025-05-08,23.41,defective
R000370,S05,2025-05-06,29.25,changed_mind
R000243,S04,2025-04-14,21.05,changed_mind
R000089,S01,2025-05-31,37.7,changed_mind
R000192,S03,2025-04-23,18.67,defective
R000148,S02,2025-05-19,17.89,defective
R000291,S04,2025-05-16,13.83,other
R000001,S01,2025-04-08,35.39,wrong_item
R000129,S02,2025-05-04,23.1,defective
R000082,S01,2025-05-30,3.0,defective
R000379,S05,2025-05-11,33.1,other
R000200,S03,2025-05-06,3.0,changed_mind
R000323,S05,2025-04-08,31.91,defective
R000149,S02,2025-05-19,27.36,changed_mind
R000125,S02,2025-05-01,43.51,defective
R000329,S05,2025-04-12,45.46,other
R000308,S04,2025-05-27,23.03,wrong_item
R000160,S02,2025-05-26,36.03,wrong_item
R000150,S02,2025-05-19,29.63,changed_mind
R000051,S01,2025-05-08,22.57,changed_mind
R000351,S05,2025-04-27,20.57,defective
R000220,S03,2025-05-24,15.02,other
R000141,S02,2025-05-13,39.36,wrong_item
R000120,S02,2025-04-26,35.53,defective
R000244,S04,2025-04-14,22.49,wrong_item
R000387,S05,2025-05-20,34.52,wrong_item
R000312,S04,2025-05-29,20.11,changed_mind
R000016,S01,2025-04-19,40.82,defective
R000313,S04,2025-05-29,20.35,defective
R000296,S04,2025-05-19,20.84,defective
R000010,S01,2025-04-15,43.53,defective
R000199,S03,2025-05-06,13.46,defective
R000352,S05,2025-04-27,20.2,defective
R000070,S01,2025-05-18,28.42,wrong_item
R000169,S03,2025-04-08,35.28,wrong_item
R000175,S03,2025-04-12,42.07,wrong_item
R000246,S04,2025-04-15,17.45,defective
R000069,S01,2025-05-18,31.9,wrong_item
R000214,S03,2025-05-20,17.81,changed_mind
R000165,S02,2025-05-31,17.92,changed_mind
R000366,S05,2025-05-04,9.71,defective
R000106,S02,2025-04-17,21.78,other
R000098,S02,2025-04-13,29.5,wrong_item
R000020,S01,2025-04-23,42.79,defective
R000248,S04,2025-04-17,32.82,changed_mind
R000099,S02,2025-04-13,15.08,defective
R000365,S05,2025-05-03,27.04,other
R000401,S05,2025-05-29,35.36,wrong_item
R000078,S01,2025-05-27,16.08,defective
R000350,S05,2025-04-27,31.52,wrong_item
R000052,S01,2025-05-08,34.36,defective
R000400,S05,2025-05-28,42.82,defective
R000301,S04,2025-05-20,9.95,changed_mind
R000257,S04,2025-04-26,31.54,wrong_item
R000035,S01,2025-04-30,33.31,changed_mind
R000373,S05,2025-05-07,24.82,changed_mind
R000005,S01,2025-04-11,30.55,defective
R000218,S03,2025-05-22,11.43,changed_mind
R000255,S04,2025-04-24,24.83,other
R000181,S03,2025-04-17,38.23,changed_mind
R000118,S02,2025-04-24,40.55,wrong_item
R000189,S03,2025-04-21,26.09,changed_mind
R000145,S02,2025-05-18,30.13,defective
R000176,S03,2025-04-13,23.36,changed_mind
R000080,S01,2025-05-29,37.49,defective
R000153,S02,2025-05-23,35.24,other
R000205,S03,2025-05-10,43.83,defective
R000076,S01,2025-05-25,28.32,wrong_item
R000295,S04,2025-05-19,19.74,wrong_item
R000303,S04,2025-05-21,22.91,wrong_item
R000077,S01,2025-05-26,42.05,wrong_item
R000341,S05,2025-04-21,15.97,changed_mind
R000206,S03,2025-05-10,15.69,wrong_item
R000023,S01,2025-04-23,20.03,wrong_item
R000094,S02,2025-04-08,35.57,wrong_item
R000026,S01,2025-04-25,31.89,changed_mind
R000321,S04,2025-06-01,17.25,changed_mind
R000368,S05,2025-05-05,30.24,wrong_item
R000375,S05,2025-05-08,35.21,changed_mind
R000115,S02,2025-04-22,31.56,defective
R000240,S04,2025-04-13,34.02,wrong_item
R000402,S05,2025-05-30,37.49,changed_mind
R000348,S05,2025-04-24,16.98,wrong_item
R000124,S02,2025-05-01,24.89,changed_mind
R000086,S01,2025-05-31,48.5,defective
R000088,S01,2025-05-31,19.99,defective
R000361,S05,2025-05-02,16.18,changed_mind
R000219,S03,2025-05-24,20.9,changed_mind
R000127,S02,2025-05-03,34.37,wrong_item
R000297,S04,2025-05-19,27.98,defective
R000084,S01,2025-05-30,13.7,wrong_item
R000232,S04,2025-04-09,23.81,wrong_item
R000128,S02,2025-05-04,21.15,changed_mind
R000104,S02,2025-04-16,17.06,changed_mind
R000058,S01,2025-05-10,33.44,defective
R000068,S01,2025-05-18,37.39,changed_mind
R000002,S01,2025-04-08,30.05,other
R000286,S04,2025-05-11,40.34,wrong_item
R000399,S05,2025-05-27,21.54,defective
R000299,S04,2025-05-20,32.24,defective
R000381,S05,2025-05-16,22.97,defective
R000147,S02,2025-05-19,31.64,defective
R000294,S04,2025-05-19,32.48,changed_mind
R000289,S04,2025-05-13,26.54,wrong_item
R000097,S02,2025-04-12,45.27,wrong_item
R000231,S03,2025-06-01,28.33,changed_mind
R000171,S03,2025-04-09,19.4,wrong_item
R000019,S01,2025-04-22,27.47,wrong_item
R000091,S01,2025-06-01,44.25,wrong_item
R000060,S01,2025-05-12,21.18,wrong_item
R000056,S01,2025-05-10,35.12,defective
R000347,S05,2025-04-24,17.14,wrong_item
R000258,S04,2025-04-27,41.84,wrong_item
R000121,S02,2025-04-27,38.32,defective
R000194,S03,2025-04-24,26.03,defective
R000221,S03,2025-05-25,23.36,wrong_item
R000392,S05,2025-05-23,47.16,defective
R000250,S04,2025-04-20,10.8,defective
R000161,S02,2025-05-26,28.64,changed_mind
R000158,S02,2025-05-26,15.43,wrong_item
R000317,S04,2025-05-31,26.31,other
R000006,S01,2025-04-11,34.19,changed_mind
R000234,S04,2025-04-10,16.79,wrong_item
R000332,S05,2025-04-14,37.84,changed_mind
R000344,S05,2025-04-23,26.91,wrong_item
R000315,S04,2025-05-31,42.89,changed_mind
R000163,S02,2025-05-28,35.81,wrong_item
R000187,S03,2025-04-20,47.02,changed_mind
R000245,S04,2025-04-15,18.69,defective
R000330,S05,2025-04-13,36.86,wrong_item
R000342,S05,2025-04-22,33.86,other
R000116,S02,2025-04-22,17.98,changed_mind
R000164,S02,2025-05-30,30.71,defective
R000278,S04,2025-05-08,25.55,changed_mind
R000280,S04,2025-05-08,24.7,wrong_item
R000207,S03,2025-05-10,29.6,changed_mind
R000249,S04,2025-04-19,50.0,defective
R000067,S01,2025-05-17,39.06,wrong_item
R000247,S04,2025-04-16,15.93,wrong_item
R000324,S05,2025-04-09,40.14,changed_mind
R000336,S05,2025-04-17,18.85,defective
R000354,S05,2025-04-29,19.96,wrong_item
R000107,S02,2025-04-18,12.16,changed_mind
R000309,S04,2025-05-27,34.64,wrong_item
R000407,S05,2025-06-01,23.65,changed_mind
R000195,S03,2025-04-30,19.48,changed_mind
R000041,S01,2025-05-04,37.83,wrong_item
R000225,S03,2025-05-28,27.13,defective
R000130,S02,2025-05-05,22.41,changed_mind
R000179,S03,2025-04-15,4.48,changed_mind
R000393,S05,2025-05-25,27.01,changed_mind
R000011,S01,2025-04-15,24.05,wrong_item
R000196,S03,2025-05-05,16.64,changed_mind
R000025,S01,2025-04-25,23.64,wrong_item
R000271,S04,2025-05-05,29.9,defective
R000319,S04,2025-06-01,28.55,other
R000292,S04,2025-05-17,22.35,defective
R000044,S01,2025-05-06,27.95,defective
R000322,S05,2025-04-07,15.2,wrong_item
R000363,S05,2025-05-03,19.99,defective
R000254,S04,2025-04-24,25.13,wrong_item
R000046,S01,2025-05-07,21.65,defective
R000389,S05,2025-05-21,23.61,changed_mind
R000349,S05,2025-04-27,19.58,defective
R000304,S04,2025-05-22,28.22,changed_mind
R000290,S04,2025-05-15,14.55,defective
R000316,S04,2025-05-31,40.3,defective
R000380,S05,2025-05-15,30.03,changed_mind
R000075,S01,2025-05-22,27.33,defective
R000405,S05,2025-05-31,31.27,wrong_item
R000090,S01,2025-06-01,29.43,changed_mind
R000213,S03,2025-05-18,22.83,defective
R000282,S04,2025-05-08,34.7,other
R000146,S02,2025-05-18,34.68,wrong_item
R000013,S01,2025-04-15,25.27,wrong_item
R000022,S01,2025-04-23,12.86,defective
R000105,S02,2025-04-17,28.43,changed_mind
R000376,S05,2025-05-08,13.43,defective
R000372,S05,2025-05-07,12.71,wrong_item
R000180,S03,2025-04-17,40.18,wrong_item
R000028,S01,2025-04-27,35.92,wrong_item
R000037,S01,2025-05-01,40.32,wrong_item
R000229,S03,2025-05-31,20.24,defective
R000272,S04,2025-05-05,25.71,changed_mind
R000277,S04,2025-05-06,18.55,defective
R000193,S03,2025-04-24,41.27,changed_mind
R000073,S01,2025-05-20,25.12,changed_mind
R000178,S03,2025-04-15,26.25,defective
R000306,S04,2025-05-26,21.17,wrong_item
R000378,S05,2025-05-11,21.79,changed_mind
R000203,S03,2025-05-09,31.59,wrong_item
R000111,S02,2025-04-21,20.83,defective
R000092,S02,2025-04-07,35.31,defective
R000027,S01,2025-04-26,23.12,defective
R000064,S01,2025-05-14,25.49,changed_mind
R000374,S05,2025-05-07,15.24,changed_mind
R000009,S01,2025-04-14,42.32,defective
R000061,S01,2025-05-12,14.66,changed_mind
R000050,S01,2025-05-08,23.97,wrong_item
R000307,S04,2025-05-27,21.48,wrong_item
R000340,S05,2025-04-19,18.72,wrong_item
R000235,S04,2025-04-11,19.23,defective
R000284,S04,2025-05-10,50.89,wrong_item
R000057,S01,2025-05-10,37.55,wrong_item
R000142,S02,2025-05-14,34.74,wrong_item
R000045,S01,2025-05-06,35.32,wrong_item
R000003,S01,2025-04-09,40.75,wrong_item
R000388,S05,2025-05-20,21.45,defective
R000318,S04,2025-06-01,30.92,defective
R000033,S01,2025-04-30,25.96,other
R000230,S03,2025-06-01,19.21,wrong_item
R000238,S04,2025-04-13,34.68,changed_mind
R000274,S04,2025-05-06,33.79,defective
R000031,S01,2025-04-29,35.0,wrong_item
R000186,S03,2025-04-20,19.52,defective
R000298,S04,2025-05-20,31.8,defective
R000167,S02,2025-06-01,19.61,wrong_item
R000263,S04,2025-05-02,30.78,other
R000320,S04,2025-06-01,33.98,defective
R000132,S02,2025-05-06,12.55,changed_mind
R000267,S04,2025-05-04,22.01,wrong_item
R000185,S03,2025-04-20,17.41,other
R000042,S01,2025-05-04,27.67,changed_mind
R000018,S01,2025-04-21,28.61,wrong_item
R000239,S04,2025-04-13,36.19,changed_mind
R000386,S05,2025-05-20,25.42,changed_mind
R000008,S01,2025-04-13,26.05,changed_mind
R000040,S01,2025-05-04,20.19,defective
R000325,S05,2025-04-11,44.11,changed_mind
R000032,S01,2025-04-30,37.36,defective
R000279,S04,2025-05-08,28.7,changed_mind
R000241,S04,2025-04-13,16.64,other
R000314,S04,2025-05-29,37.02,changed_mind
R000391,S05,2025-05-23,12.4,wrong_item
R000144,S02,2025-05-17,27.88,wrong_item
R000242,S04,2025-04-14,18.77,wrong_item
R000112,S02,2025-04-21,19.41,wrong_item
