shift_id,store_id,employee_id,date,hours_worked,role
SH001379,S04,S04-E05,2025-05-09,6.4,stock
SH001819,S05,S05-E07,2025-05-04,6.3,stock
SH001546,S04,S04-E10,2025-05-07,7.6,stock
SH000113,S01,S01-E03,2025-05-23,6.2,stock
SH000696,S02,S02-E08,2025-05-07,6.2,stock
SH001213,S04,S04-E01,2025-04-09,7.5,cashier
SH000405,S02,S02-E01,2025-05-02,6.4,manager
SH001616,S05,S05-E02,2025-04-28,8.0,manager
SH000963,S03,S03-E04,2025-05-23,8.3,manager
SH001332,S04,S04-E04,2025-04-20,5.5,stock
SH000414,S02,S02-E01,2025-05-12,7.9,manager
SH001697,S05,S05-E04,2025-05-02,8.3,cashier
SH000211,S01,S01-E06,2025-04-18,6.0,stock
SH001186,S03,S03-E10,2025-04-29,6.3,cashier
SH001069,S03,S03-E07,2025-04-28,7.3,cashier
SH001376,S04,S04-E05,2025-05-05,5.6,stock
SH001400,S04,S04-E06,2025-04-23,5.7,stock
SH001722,S05,S05-E05,2025-04-10,6.7,cashier
SH001755,S05,S05-E05,2025-05-26,7.5,cashier
SH001136,S03,S03-E09,2025-04-07,7.7,cashier
SH000732,S02,S02-E09,2025-04-25,5.9,cashier
SH000948,S03,S03-E04,2025-05-03,7.8,manager
SH000982,S03,S03-E05,2025-04-26,6.6,stock
SH001661,S05,S05-E03,2025-05-08,5.6,cashier
SH000294,S01,S01-E08,2025-04-23,4.9,manager
SH000721,S02,S02-E09,2025-04-08,7.5,cashier
SH001662,S05,S05-E03,2025-05-09,6.2,cashier
SH000620,S02,S02-E06,2025-05-15,6.3,stock
SH001919,S05,S05-E10,2025-04-15,5.2,stock
SH001613,S05,S05-E02,2025-04-24,8.6,manager
SH001780,S05,S05-E06,2025-05-07,7.1,manager
SH000590,S02,S02-E05,2025-05-28,6.3,cashier
SH001372,S04,S04-E05,2025-04-30,6.3,stock
SH001286,S04,S04-E02,2025-05-31,6.7,manager
SH001459,S04,S04-E08,2025-04-12,4.4,stock
SH001237,S04,S04-E01,2025-05-11,4.8,cashier
SH001734,S05,S05-E05,2025-04-23,7.1,cashier
SH000813,S03,S03-E01,2025-05-01,7.1,manager
SH001218,S04,S04-E01,2025-04-16,4.4,cashier
SH000671,S02,S02-E07,2025-05-26,7.9,cashier
SH000661,S02,S02-E07,2025-05-15,5.8,cashier
SH001573,S05,S05-E01,2025-04-20,7.5,cashier
SH000034,S01,S01-E01,2025-05-21,6.5,stock
SH000752,S02,S02-E09,2025-05-23,8.6,cashier
SH000216,S01,S01-E06,2025-04-24,8.1,stock
SH001764,S05,S05-E06,2025-04-17,6.2,manager
SH000998,S03,S03-E05,2025-05-13,8.3,stock
SH000364,S01,S01-E10,2025-04-27,6.1,stock
SH000268,S01,S01-E07,2025-05-12,7.7,stock
SH000469,S02,S02-E02,2025-05-30,7.3,manager
SH001699,S05,S05-E04,2025-05-04,6.3,cashier
SH000839,S03,S03-E02,2025-04-09,7.0,stock
SH000502,S02,S02-E03,2025-05-15,8.2,cashier
SH000145,S01,S01-E04,2025-05-13,8.5,stock
SH000292,S01,S01-E08,2025-04-21,7.1,manager
SH000817,S03,S03-E01,2025-05-05,6.0,manager
SH001055,S03,S03-E07,2025-04-12,6.7,cashier
SH000958,S03,S03-E04,2025-05-16,5.8,manager
SH001366,S04,S04-E05,2025-04-20,6.6,stock
SH000202,S01,S01-E05,2025-05-31,6.2,cashier
SH001718,S05,S05-E04,2025-05-31,7.3,cashier
SH001192,S03,S03-E10,2025-05-05,6.7,cashier
SH001746,S05,S05-E05,2025-05-15,7.5,cashier
SH000471,S02,S02-E03,2025-04-08,7.2,cashier
SH001879,S05,S05-E09,2025-04-08,6.8,cashier
SH001860,S05,S05-E08,2025-05-05,7.5,stock
SH001138,S03,S03-E09,2025-04-11,5.9,cashier
SH000939,S03,S03-E04,2025-04-21,7.8,manager
SH001058,S03,S03-E07,2025-04-16,6.4,cashier
SH000030,S01,S01-E01,2025-05-17,6.9,stock
SH000681,S02,S02-E08,2025-04-11,6.3,stock
SH001427,S04,S04-E07,2025-04-17,7.4,stock
SH001926,S05,S05-E10,2025-04-23,7.6,stock
SH001464,S04,S04-E08,2025-04-25,7.1,stock
SH000285,S01,S01-E08,2025-04-10,7.9,manager
SH000083,S01,S01-E03,2025-04-07,8.6,stock
SH001574,S05,S05-E01,2025-04-23,6.7,cashier
SH000769,S02,S02-E10,2025-04-23,7.8,stock
SH000566,S02,S02-E05,2025-04-25,8.9,cashier
SH000989,S03,S03-E05,2025-05-04,6.8,stock
SH000920,S03,S03-E03,2025-05-25,7.5,stock
SH001966,S09,S09-E01,2025-05-14,6.3,cashier
SH001539,S04,S04-E10,2025-04-29,6.2,stock
SH000765,S02,S02-E10,2025-04-16,7.2,stock
SH000016,S01,S01-E01,2025-04-29,7.2,stock
SH001951,S05,S05-E10,2025-05-25,8.5,stock
SH000474,S02,S02-E03,2025-04-13,7.8,cashier
SH001100,S03,S03-E08,2025-04-09,4.9,cashier
SH000017,S01,S01-E01,2025-04-30,8.2,stock
SH001913,S05,S05-E09,2025-05-27,6.2,cashier
SH000691,S02,S02-E08,2025-04-25,5.0,stock
SH000215,S01,S01-E06,2025-04-23,6.2,stock
SH000186,S01,S01-E05,2025-05-06,6.1,cashier
SH000804,S03,S03-E01,2025-04-20,7.8,manager
SH000926,S03,S03-E03,2025-06-01,7.4,stock
SH001901,S05,S05-E09,2025-05-09,7.6,cashier
SH001357,S04,S04-E05,2025-04-07,8.3,stock
SH000649,S02,S02-E07,2025-04-28,4.7,cashier
SH001733,S05,S05-E05,2025-04-22,6.2,cashier
SH000579,S02,S02-E05,2025-05-13,5.1,cashier
SH000322,S01,S01-E09,2025-04-11,6.6,manager
SH001404,S04,S04-E06,2025-04-29,7.4,stock
SH001552,S04,S04-E10,2025-05-21,6.9,stock
SH001836,S05,S05-E07,2025-05-29,7.5,stock
SH000513,S02,S02-E03,2025-05-27,5.2,cashier
SH001072,S03,S03-E07,2025-05-03,5.5,cashier
SH001194,S03,S03-E10,2025-05-08,7.4,cashier
SH001272,S04,S04-E02,2025-05-06,9.0,manager
SH000287,S01,S01-E08,2025-04-12,5.5,manager
SH000648,S02,S02-E07,2025-04-26,6.8,cashier
SH000596,S02,S02-E06,2025-04-09,7.4,stock
SH001231,S04,S04-E01,2025-05-02,7.2,cashier
SH001297,S04,S04-E03,2025-04-19,9.6,manager
SH000419,S02,S02-E01,2025-05-18,5.7,manager
SH000859,S03,S03-E02,2025-05-06,7.4,stock
SH000547,S02,S02-E04,2025-05-22,6.9,cashier
SH001897,S05,S05-E09,2025-05-04,8.3,cashier
SH001678,S05,S05-E04,2025-04-12,5.3,cashier
SH001588,S05,S05-E01,2025-05-13,5.9,cashier
SH001391,S04,S04-E06,2025-04-10,5.8,stock
SH000225,S01,S01-E06,2025-05-07,5.2,stock
SH001911,S05,S05-E09,2025-05-25,5.9,cashier
SH000450,S02,S02-E02,2025-05-06,7.5,manager
SH000865,S03,S03-E02,2025-05-15,6.1,stock
SH001451,S04,S04-E07,2025-05-27,7.0,stock
SH000453,S02,S02-E02,2025-05-10,7.4,manager
SH001469,S04,S04-E08,2025-04-30,8.4,stock
SH001018,S03,S03-E06,2025-04-18,6.3,stock
SH000111,S01,S01-E03,2025-05-21,4.9,stock
SH000582,S02,S02-E05,2025-05-17,6.1,cashier
SH000662,S02,S02-E07,2025-05-16,6.5,cashier
SH001229,S04,S04-E01,2025-04-29,7.9,cashier
SH000884,S03,S03-E03,2025-04-11,8.1,stock
SH000045,S01,S01-E02,2025-04-10,6.3,cashier
SH000672,S02,S02-E07,2025-05-27,7.9,cashier
SH000243,S01,S01-E06,2025-06-01,4.3,stock
SH000552,S02,S02-E04,2025-05-30,6.0,cashier
SH001462,S04,S04-E08,2025-04-17,8.1,stock
SH001208,S03,S03-E10,2025-05-28,6.4,cashier
SH000071,S01,S01-E02,2025-05-16,7.2,cashier
SH000614,S02,S02-E06,2025-05-08,6.0,stock
SH000797,S03,S03-E01,2025-04-12,6.9,manager
SH000024,S01,S01-E01,2025-05-08,5.9,stock
SH000976,S03,S03-E05,2025-04-18,5.6,stock
SH000033,S01,S01-E01,2025-05-20,7.8,stock
SH001740,S05,S05-E05,2025-05-05,6.6,cashier
SH000708,S02,S02-E08,2025-05-21,7.4,stock
SH000723,S02,S02-E09,2025-04-11,7.2,cashier
SH001424,S04,S04-E07,2025-04-12,6.2,stock
SH001843,S05,S05-E08,2025-04-12,5.3,stock
SH001282,S04,S04-E02,2025-05-26,6.3,manager
SH000847,S03,S03-E02,2025-04-20,4.7,stock
SH001233,S04,S04-E01,2025-05-04,7.2,cashier
SH000947,S03,S03-E04,2025-05-02,7.7,manager
SH001076,S03,S03-E07,2025-05-07,6.1,cashier
SH001492,S04,S04-E09,2025-04-12,7.2,cashier
SH000762,S02,S02-E10,2025-04-11,8.5,stock
SH000449,S02,S02-E02,2025-05-05,7.1,manager
SH000307,S01,S01-E08,2025-05-08,7.7,manager
SH000756,S02,S02-E09,2025-05-27,7.7,cashier
SH000604,S02,S02-E06,2025-04-21,7.8,stock
SH001760,S05,S05-E05,2025-06-01,6.0,cashier
SH000960,S03,S03-E04,2025-05-19,8.3,manager
SH001948,S05,S05-E10,2025-05-22,6.0,stock
SH000734,S02,S02-E09,2025-04-27,7.0,cashier
SH001696,S05,S05-E04,2025-05-01,6.0,cashier
SH000935,S03,S03-E04,2025-04-17,6.2,manager
SH000616,S02,S02-E06,2025-05-10,6.6,stock
SH001618,S05,S05-E02,2025-04-30,7.5,manager
SH000290,S01,S01-E08,2025-04-18,7.0,manager
SH000722,S02,S02-E09,2025-04-10,7.9,cashier
SH001814,S05,S05-E07,2025-04-27,7.1,stock
SH001148,S03,S03-E09,2025-04-26,8.3,cashier
SH000703,S02,S02-E08,2025-05-16,9.2,stock
SH000441,S02,S02-E02,2025-04-26,5.6,manager
SH000888,S03,S03-E03,2025-04-18,7.2,stock
SH000668,S02,S02-E07,2025-05-23,7.0,cashier
SH001239,S04,S04-E01,2025-05-20,7.9,cashier
SH000694,S02,S02-E08,2025-05-03,7.8,stock
SH000782,S02,S02-E10,2025-05-15,6.4,stock
SH001443,S04,S04-E07,2025-05-11,8.1,stock
SH000153,S01,S01-E04,2025-05-23,6.6,stock
SH000352,S01,S01-E09,2025-05-27,6.9,manager
SH000267,S01,S01-E07,2025-05-11,6.8,stock
SH000481,S02,S02-E03,2025-04-22,6.3,cashier
SH000717,S02,S02-E08,2025-05-30,5.9,stock
SH001110,S03,S03-E08,2025-04-23,6.8,cashier
SH000164,S01,S01-E05,2025-04-11,7.1,cashier
SH001856,S05,S05-E08,2025-05-01,7.0,stock
SH001959,S03,S03-TEMP02,2025-05-10,6.3,temp
SH001011,S03,S03-E06,2025-04-07,5.9,stock
SH001636,S05,S05-E02,2025-05-30,7.5,manager
SH000911,S03,S03-E03,2025-05-13,8.7,stock
SH000644,S02,S02-E07,2025-04-20,6.4,cashier
SH000389,S02,S02-E01,2025-04-10,8.9,manager
SH001291,S04,S04-E03,2025-04-11,6.1,manager
SH001634,S05,S05-E02,2025-05-28,6.4,manager
SH000768,S02,S02-E10,2025-04-22,6.7,stock
SH000834,S03,S03-E01,2025-05-29,7.4,manager
SH000394,S02,S02-E01,2025-04-15,7.8,manager
SH001824,S05,S05-E07,2025-05-12,7.4,stock
SH001970,S09,S09-E01,2025-05-26,6.9,cashier
SH001137,S03,S03-E09,2025-04-08,7.3,cashier
SH001615,S05,S05-E02,2025-04-26,7.0,manager
SH000041,S01,S01-E01,2025-05-31,6.4,stock
SH001398,S04,S04-E06,2025-04-21,6.4,stock
SH001510,S04,S04-E09,2025-05-09,6.6,cashier
SH000766,S02,S02-E10,2025-04-18,6.4,stock
SH001527,S04,S04-E10,2025-04-13,6.4,stock
SH000835,S03,S03-E01,2025-05-30,7.8,manager
SH001220,S04,S04-E01,2025-04-18,7.8,cashier
SH001837,S05,S05-E07,2025-05-30,7.2,stock
SH001761,S05,S05-E06,2025-04-07,6.2,manager
SH001673,S05,S05-E03,2025-05-27,6.6,cashier
SH000490,S02,S02-E03,2025-05-03,6.5,cashier
SH000492,S02,S02-E03,2025-05-05,6.6,cashier
SH001878,S05,S05-E08,2025-06-01,6.4,stock
SH000927,S03,S03-E04,2025-04-07,8.5,manager
SH001020,S03,S03-E06,2025-04-21,6.7,stock
SH001476,S04,S04-E08,2025-05-09,8.0,stock
SH000913,S03,S03-E03,2025-05-17,7.3,stock
SH000360,S01,S01-E10,2025-04-23,7.5,stock
SH000434,S02,S02-E02,2025-04-13,5.6,manager
SH000288,S01,S01-E08,2025-04-13,6.4,manager
SH001787,S05,S05-E06,2025-05-16,6.3,manager
SH000507,S02,S02-E03,2025-05-20,5.5,cashier
SH000227,S01,S01-E06,2025-05-09,6.7,stock
SH000157,S01,S01-E04,2025-05-27,6.6,stock
SH000763,S02,S02-E10,2025-04-14,9.0,stock
SH000047,S01,S01-E02,2025-04-12,6.5,cashier
SH000725,S02,S02-E09,2025-04-14,7.9,cashier
SH000250,S01,S01-E07,2025-04-16,8.1,stock
SH001804,S05,S05-E07,2025-04-12,7.9,stock
SH001894,S05,S05-E09,2025-05-01,3.6,cashier
SH000850,S03,S03-E02,2025-04-23,6.2,stock
SH001957,S05,S05-E10,2025-06-01,6.6,stock
SH001497,S04,S04-E09,2025-04-19,8.5,cashier
SH001629,S05,S05-E02,2025-05-22,6.7,manager
SH001088,S03,S03-E07,2025-05-20,5.3,cashier
SH001627,S05,S05-E02,2025-05-19,9.4,manager
SH001320,S04,S04-E03,2025-05-27,7.4,manager
SH001473,S04,S04-E08,2025-05-06,8.4,stock
SH001454,S04,S04-E07,2025-06-01,7.6,stock
SH001547,S04,S04-E10,2025-05-08,5.9,stock
SH001081,S03,S03-E07,2025-05-12,7.1,cashier
SH000459,S02,S02-E02,2025-05-16,7.6,manager
SH001648,S05,S05-E03,2025-04-22,7.3,cashier
SH001873,S05,S05-E08,2025-05-24,7.0,stock
SH000028,S01,S01-E01,2025-05-15,6.9,stock
SH001484,S04,S04-E08,2025-05-27,5.9,stock
SH001370,S04,S04-E05,2025-04-28,7.0,stock
SH000223,S01,S01-E06,2025-05-05,6.4,stock
SH001009,S03,S03-E05,2025-05-31,6.8,stock
SH001006,S03,S03-E05,2025-05-26,7.7,stock
SH000340,S01,S01-E09,2025-05-04,6.8,manager
SH000403,S02,S02-E01,2025-04-29,6.1,manager
SH000969,S03,S03-E05,2025-04-11,4.5,stock
SH001232,S04,S04-E01,2025-05-03,7.1,cashier
SH000436,S02,S02-E02,2025-04-16,7.3,manager
SH001719,S05,S05-E04,2025-06-01,8.2,cashier
SH000886,S03,S03-E03,2025-04-16,4.7,stock
SH000727,S02,S02-E09,2025-04-17,5.0,cashier
SH001216,S04,S04-E01,2025-04-13,7.3,cashier
SH001101,S03,S03-E08,2025-04-10,8.2,cashier
SH000251,S01,S01-E07,2025-04-17,7.6,stock
SH000401,S02,S02-E01,2025-04-25,9.1,manager
SH001406,S04,S04-E06,2025-05-04,8.7,stock
SH001501,S04,S04-E09,2025-04-26,4.0,cashier
SH001161,S03,S03-E09,2025-05-18,7.1,cashier
SH000197,S01,S01-E05,2025-05-25,7.7,cashier
SH000781,S02,S02-E10,2025-05-14,5.9,stock
SH001536,S04,S04-E10,2025-04-26,7.6,stock
SH000610,S02,S02-E06,2025-05-02,7.7,stock
SH001641,S05,S05-E03,2025-04-10,7.0,cashier
SH000297,S01,S01-E08,2025-04-26,7.5,manager
SH001294,S04,S04-E03,2025-04-16,6.1,manager
SH000286,S01,S01-E08,2025-04-11,5.9,manager
SH001695,S05,S05-E04,2025-04-30,6.0,cashier
SH001383,S04,S04-E05,2025-05-22,9.7,stock
SH000606,S02,S02-E06,2025-04-25,6.0,stock
SH000451,S02,S02-E02,2025-05-07,6.1,manager
SH001720,S05,S05-E05,2025-04-08,6.5,cashier
SH001687,S05,S05-E04,2025-04-21,8.4,cashier
SH001264,S04,S04-E02,2025-04-28,8.6,manager
SH000446,S02,S02-E02,2025-05-01,7.6,manager
SH000275,S01,S01-E07,2025-05-23,7.8,stock
SH000890,S03,S03-E03,2025-04-20,7.1,stock
SH000967,S03,S03-E05,2025-04-07,7.5,stock
SH001794,S05,S05-E06,2025-05-26,8.6,manager
SH001703,S05,S05-E04,2025-05-10,5.9,cashier
